"Name","State","Runtime","Created","representation","model","val/fscore","fit_time","model.weight_decay","model.learning_rate","model.net.conv0_channels","model.net.conv0_kernel_size","model.net.ff_dropout","model.net.ff_hidden_dims","model.net.layers"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","225","2023-01-22T12:10:53.000Z","agg_beat_waveforms","CNN","0.7345544099807739","214.38988280296329","0.001","0.001","256","5","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","209","2023-01-22T12:07:20.000Z","agg_beat_waveforms","CNN","0.7446554899215698","199.41705560684204","0.001","0.001","64","5","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","290","2023-01-22T11:42:59.000Z","agg_beat_waveforms","CNN","0.7478213310241699","277.0174968242645","0.001","0.001","128","9","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","356","2023-01-22T11:37:00.000Z","agg_beat_waveforms","CNN","0.7501852512359619","344.98690485954285","0.001","0.001","128","5","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","67","2023-01-22T11:18:03.000Z","agg_beat_waveforms","CNN","0.39952799677848816","56.561593770980835","0.001","0.1","128","7","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","354","2023-01-22T11:12:06.000Z","agg_beat_waveforms","CNN","0.7125037908554077","343.1724593639374","0.001","0.01","128","7","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","251","2023-01-22T11:07:52.000Z","agg_beat_waveforms","CNN","0.732243001461029","240.3217396736145","0.001","0.001","128","7","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","736","2023-01-22T10:48:56.000Z","agg_beat_features","CNN","0.6931319236755371","693.3174982070923","0.01","0.001","256","9","0.2","[128,64]","[1,1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","1579","2023-01-22T10:22:34.000Z","agg_beat_features","CNN","0.7207626700401306","1535.3612279891968","0.0001","0.001","256","9","0.2","[128,64]","[1,1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","1708","2023-01-22T09:15:07.000Z","agg_beat_features","CNN","0.7205166816711426","1672.0906434059143","0.001","0.001","256","9","0.3","[128,64]","[1,1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","1699","2023-01-22T08:46:45.000Z","agg_beat_features","CNN","0.7175043225288391","1660.7960319519043","0.001","0.001","256","9","0.1","[128,64]","[1,1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","1165","2023-01-22T08:27:17.000Z","agg_beat_features","CNN","0.7112747430801392","1123.9763190746307","0.001","0.001","256","9","0","[128,64]","[1,1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","2150","2023-01-21T22:58:04.000Z","agg_beat_features","CNN","0.7255173325538635","2110.22807097435","0.001","0.001","256","9","0.2","[128,64]","[1,1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","1599","2023-01-21T22:31:21.000Z","agg_beat_features","CNN","0.7202026844024658","1560.8683371543884","0.001","0.001","256","9","0.2","[128]","[1,1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","1574","2023-01-21T22:05:04.000Z","agg_beat_features","CNN","0.7229773998260498","1529.30198264122","0.001","0.001","256","9","0.2","[64]","[1,1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","1155","2023-01-21T21:36:55.000Z","agg_beat_features","CNN","0.7203530073165894","1110.7966158390043","0.001","0.001","256","9","0.2","[128,128]","[1,1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","991","2023-01-21T21:20:21.000Z","agg_beat_features","CNN","0.6518933773040771","953.09059882164","0.001","0.001","256","9","0.2","[128,128]","[1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","1251","2023-01-21T20:59:27.000Z","agg_beat_features","CNN","0.6600643396377563","1222.5980949401855","0.001","0.001","256","9","0.2","[128,128]","[1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","2044","2023-01-21T20:21:10.000Z","agg_beat_features","CNN","0.711134672164917","2008.4769010543823","0.001","0.001","256","9","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","1691","2023-01-21T19:52:56.000Z","agg_beat_features","CNN","0.7013203501701355","1672.3561973571775","0.001","0.001","64","9","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","1398","2023-01-21T19:27:40.000Z","agg_beat_features","CNN","0.7026168704032898","1376.2276003360748","0.001","0.001","128","9","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","582","2023-01-21T19:17:55.000Z","agg_beat_features","CNN","0.6796441078186035","557.5174403190613","0.001","0.001","128","5","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","296","2023-01-21T19:00:27.000Z","agg_beat_features","CNN","0.39952799677848816","274.7636218070984","0.001","0.1","128","7","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","438","2023-01-21T18:53:06.000Z","agg_beat_features","CNN","0.46812450885772705","416.2489607334137","0.001","0.01","128","7","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_features__CNNClassifier","finished","1761","2023-01-21T18:23:42.000Z","agg_beat_features","CNN","0.7004216909408569","1736.7591066360474","0.001","0.001","128","7","0.2","[128,128]","[1,1,1]"
